algorithm,outer_run,episode_index,fitness_variant,fitness,steps,seed
Random,3,0,EA1,0.003777547768988666,4000,342
Random,3,1,EA1,-0.026317918390421025,4000,342
Random,3,2,EA1,-0.025305328545223753,4000,342
Random,3,3,EA1,-0.017140488855550657,4000,342
Random,3,4,EA1,0.051037689954409174,4000,342
Random,3,5,EA1,0.029001925913686243,4000,342
Random,3,6,EA1,-0.002448435450556367,4000,342
Random,3,7,EA1,0.021219635478580724,4000,342
Random,3,8,EA1,-0.008180302093447158,4000,342
Random,3,9,EA1,-0.0027589578850730828,4000,342
Random,3,10,EA1,0.04948413961347018,4000,342
Random,3,11,EA1,-0.015676813103141868,4000,342
Random,3,12,EA1,0.0012215189142379989,4000,342
Random,3,13,EA1,-0.05917919710512642,4000,342
Random,3,14,EA1,-0.003043891575596546,4000,342
Random,3,15,EA1,0.0061854431577128095,4000,342
Random,3,16,EA1,0.015865794288386914,4000,342
Random,3,17,EA1,0.0009648824578075134,4000,342
Random,3,18,EA1,-0.0223617842509619,4000,342
Random,3,19,EA1,-0.021978287600021247,4000,342
Random,3,20,EA1,0.005273531952600341,4000,342
Random,3,21,EA1,0.0188283009195482,4000,342
Random,3,22,EA1,0.015009691515894086,4000,342
Random,3,23,EA1,0.026629992447707612,4000,342
Random,3,24,EA1,0.00015502071470286437,4000,342
Random,3,25,EA1,-0.0243687315897807,4000,342
Random,3,26,EA1,-0.008167895211123297,4000,342
Random,3,27,EA1,0.00035581279482942895,4000,342
Random,3,28,EA1,0.014605635862390163,4000,342
Random,3,29,EA1,0.016883549672486998,4000,342
